,Image,Accuracy,F1,Jaccard,Recall,Precision
223,pexels-photo-325081_0,0.9951286315917969,0.9969784516516773,0.9939751078064109,0.9942987941572079,0.9996725916506126
224,pexels-photo-325105_0,0.9931259155273438,0.9856327337670621,0.9716724568877431,0.9897678142514011,0.9815320608505097
225,pexels-photo-325682_0,0.9891853332519531,0.9892525295413276,0.9787336188854466,0.9988669596239531,0.9798214191842957
226,pexels-photo-325685_0,0.9970588684082031,0.9887944190102465,0.9778371852362884,0.9978878817213764,0.9798651918423782
227,pexels-photo-326576_0,0.9515113830566406,0.9751533004806705,0.9515113830566406,1.0,0.9515113830566406
228,pexels-photo-332048_wmD8uHc0db_0,0.8050613403320312,0.8920044126411178,0.8050613403320312,1.0,0.8050613403320312
229,pexels-photo-333994_12TQ3nQsnH_0,0.9986152648925781,0.9711194207971994,0.9438601917723477,0.9710421638822594,0.9711966900063653
230,pexels-photo-333998_0,0.99713134765625,0.9558789016662755,0.9154866262081367,0.9294842537654039,0.9838164251207729
231,pexels-photo-340589_0,0.9563064575195312,0.9741661629512013,0.9496334862123098,0.9735864537593883,0.9747465629146844
232,pexels-photo-341004_8AgutZKy5e_0,0.9956016540527344,0.988167927180929,0.9766125760649087,0.9799120771767005,0.9965640717819221
233,pexels-photo-341392_0,0.9898262023925781,0.9811853179166283,0.9630655458460856,0.9954907883247205,0.9672851698333658
234,pexels-photo-344060_0,0.9915275573730469,0.9518586756258806,0.9081396310695674,0.9330698623151453,0.9714197230456134
235,pexels-photo-346707_0,0.9930038452148438,0.9900329337086834,0.9802625914765389,0.9906143623095411,0.9894521872318237
236,pexels-photo-346797_0,0.9920654296875,0.9904610784484578,0.9811024194354347,0.9983266770209304,0.9827184536701673
237,pexels-photo-346810_0,0.9866104125976562,0.9636284506341706,0.9298098266242726,0.9393712877287971,0.9891715951155172
238,pexels-photo-346838_0,0.9947128295898438,0.939885496183206,0.8865886588658866,0.9843735804488053,0.8992447506017097
239,pexels-photo-351978_0,0.9939079284667969,0.9818784254541741,0.9644019437385761,0.9954214982514265,0.9686989230459216
240,pexels-photo-354957_9Dw0GgCmHy_0,0.9922027587890625,0.9877223964152281,0.9757426153827896,0.9856975015585288,0.9897556277837968
241,pexels-photo-354976_0,0.9684257507324219,0.9748624984435218,0.9509577953819628,0.9918732348233433,0.9584253962187533
242,pexels-photo-355178_0,0.9946479797363281,0.9963768396641797,0.9927798391288462,0.9995803000077722,0.9931938466607632
243,pexels-photo-356642_0,0.9954071044921875,0.9832517249054084,0.9670552180813222,0.9883109619686801,0.9782440212577502
244,pexels-photo-358057_0,0.9793167114257812,0.9765834866506007,0.954238546976807,0.9693576597276998,0.9839178487511966
245,pexels-photo-366733_0,0.9962272644042969,0.992698897821481,0.9855036350844277,0.9985445472502339,0.9869212928984529
246,pexels-photo-370013_0,0.9943161010742188,0.9920503654697753,0.9842261274613593,0.9984427858025022,0.9857392779515454
247,pexels-photo-371132_0,0.99676513671875,0.9972347405286602,0.9944847322038308,0.9987720043110487,0.9957022016448847
248,pexels-photo-371160_0,0.9859046936035156,0.9877393644378524,0.975775733775642,0.9987585808901982,0.9769606427389923
249,pexels-photo-372042_0,0.986602783203125,0.9916862358912203,0.9835095693330579,0.9996897744899177,0.9838098324620609
250,pexels-photo-373899_0,0.9956398010253906,0.9933931017739781,0.9868729327453142,0.9967636414253898,0.9900452801493208
